Statistical.Indicator,Dairy.products,Bakery.products
Industrial Production Index (Base 2015=100),59.1,98.7
Industrial Production Index (Base 2015=100),131.8,98.5
Industrial Production Index (Base 2015=100),123.4,99.2
Industrial Production Index (Base 2015=100),85.8,103.6
Industrial Production Index (Base 2015=100),65.5,99.8
Industrial Production Index (Base 2015=100),126.1,97.3
Industrial Production Index (Base 2015=100),110.2,93.4
Industrial Production Index (Base 2015=100),80.2,105.8
Industrial Production Index (Base 2015=100),65,95.4
Industrial Production Index (Base 2015=100),127.7,101
Industrial Production Index (Base 2015=100),136,91.5
Industrial Production Index (Base 2015=100),95.5,109.3
Industrial Production Index (Base 2015=100),71.3,98.3
Industrial Production Index (Base 2015=100),136.3,107.8
Industrial Production Index (Base 2015=100),134.9,94.5
Industrial Production Index (Base 2015=100),111.8,96.5
Industrial Production Index (Base 2015=100),75.5,87.4
Industrial Turnover Index (Base 2015=100),82.3,97.1
Industrial Turnover Index (Base 2015=100),124.7,98.4
Industrial Turnover Index (Base 2015=100),99.8,100.4
Industrial Turnover Index (Base 2015=100),93.3,104.1
Industrial Turnover Index (Base 2015=100),71,100.4
Industrial Turnover Index (Base 2015=100),111.7,97.3
Industrial Turnover Index (Base 2015=100),103.4,92.4
Industrial Turnover Index (Base 2015=100),95.7,108.2
Industrial Turnover Index (Base 2015=100),86.3,94.2
Industrial Turnover Index (Base 2015=100),132.3,98.4
Industrial Turnover Index (Base 2015=100),141.4,88.6
Industrial Turnover Index (Base 2015=100),119.6,105.9
Industrial Turnover Index (Base 2015=100),87.4,97.5
Industrial Turnover Index (Base 2015=100),143.8,106.3
Industrial Turnover Index (Base 2015=100),138.3,91.1
Industrial Turnover Index (Base 2015=100),124.3,91.4
Industrial Turnover Index (Base 2015=100),88.5,82.8
Industrial Production Index (Seasonally Adjusted) (Base 2015=100),93.8,101.7
Industrial Production Index (Seasonally Adjusted) (Base 2015=100),97.4,97.6
Industrial Production Index (Seasonally Adjusted) (Base 2015=100),102.7,101.8
Industrial Production Index (Seasonally Adjusted) (Base 2015=100),104.9,98.7
Industrial Production Index (Seasonally Adjusted) (Base 2015=100),100.5,103.1
Industrial Production Index (Seasonally Adjusted) (Base 2015=100),94,96.2
Industrial Production Index (Seasonally Adjusted) (Base 2015=100),89.8,96.5
Industrial Production Index (Seasonally Adjusted) (Base 2015=100),96.4,100.3
Industrial Production Index (Seasonally Adjusted) (Base 2015=100),100.3,98.6
Industrial Production Index (Seasonally Adjusted) (Base 2015=100),97.6,99.4
Industrial Production Index (Seasonally Adjusted) (Base 2015=100),115.9,95.2
Industrial Production Index (Seasonally Adjusted) (Base 2015=100),109.2,103.5
Industrial Production Index (Seasonally Adjusted) (Base 2015=100),107,101.8
Industrial Production Index (Seasonally Adjusted) (Base 2015=100),107.7,105.8
Industrial Production Index (Seasonally Adjusted) (Base 2015=100),114.8,98.7
Industrial Production Index (Seasonally Adjusted) (Base 2015=100),124.1,91.4
Industrial Production Index (Seasonally Adjusted) (Base 2015=100),111.6,90.5
Industrial Turnover Index (Seasonally Adjusted) (Base 2015=100),106.4,99.4
Industrial Turnover Index (Seasonally Adjusted) (Base 2015=100),108.2,98.1
Industrial Turnover Index (Seasonally Adjusted) (Base 2015=100),87.4,103.4
Industrial Turnover Index (Seasonally Adjusted) (Base 2015=100),97.4,99.1
Industrial Turnover Index (Seasonally Adjusted) (Base 2015=100),96.7,103.2
Industrial Turnover Index (Seasonally Adjusted) (Base 2015=100),94.6,96.3
Industrial Turnover Index (Seasonally Adjusted) (Base 2015=100),90.4,95.8
Industrial Turnover Index (Seasonally Adjusted) (Base 2015=100),99.2,102.7
Industrial Turnover Index (Seasonally Adjusted) (Base 2015=100),113.7,96.7
Industrial Turnover Index (Seasonally Adjusted) (Base 2015=100),114.6,96.8
Industrial Turnover Index (Seasonally Adjusted) (Base 2015=100),128,92.6
Industrial Turnover Index (Seasonally Adjusted) (Base 2015=100),122.2,100.5
Industrial Turnover Index (Seasonally Adjusted) (Base 2015=100),116.2,100.3
Industrial Turnover Index (Seasonally Adjusted) (Base 2015=100),125.8,104
Industrial Turnover Index (Seasonally Adjusted) (Base 2015=100),124.5,95.7
Industrial Turnover Index (Seasonally Adjusted) (Base 2015=100),126.5,86.9
Industrial Turnover Index (Seasonally Adjusted) (Base 2015=100),118.4,85.1
